Date,Axis Bank,Coal India,Dr. Reddy,HDFC Bank,ICICI Bank,Infosys,Nestle India,Reliance,TCS,Wipro
21-07-2022,715.549988,179.606461,4371.100098,1360.75,781.311401,1516.328735,18728.48438,2478.836914,3106.17749,412.982788
22-07-2022,730.75,178.249924,4373.5,1392.5,795.277527,1490.016235,18876.60352,2495.58667,3100.018311,409.840546
25-07-2022,727.349976,181.686493,4330.549805,1396.599976,796.122498,1487.345459,18646.57422,2413.134521,3095.863525,413.780823
26-07-2022,706.450012,182.952606,4212,1393.75,791.549927,1435.462402,18399.99023,2414.231445,3046.151855,404.204437
27-07-2022,718.950012,183.992615,4286.049805,1404.400024,795.724854,1455.147339,18432.19922,2411.938232,3117.468994,405.650848
28-07-2022,725.900024,183.450012,4260.049805,1416.849976,809.740723,1500.996216,18999.32422,2449.724609,3187.515137,414.977875
29-07-2022,724.75,191.046646,4090.350098,1434.199951,813.716858,1532.947021,19244.5625,2501.91748,3227.988281,422.658966
01-08-2022,730.799988,192.403198,4110.450195,1446.150024,818.488281,1534.282471,19141.27734,2567.121094,3224.957764,427.945923
02-08-2022,730.450012,194.664108,4085.399902,1430.25,812.872009,1526.912964,19343.67383,2576.891602,3218.114502,428.544464
03-08-2022,730.5,191.815369,4096.299805,1433.599976,819.879883,1549.1698,19251.32422,2598.526611,3264.746826,431.28772
04-08-2022,721.599976,187.33876,4147.950195,1431.900024,815.357056,1582.60437,19732.55859,2564.179932,3279.850586,434.429962
05-08-2022,728.5,188.514435,4156.850098,1427.050049,833.200012,1599.17334,19803.63672,2526.393799,3289.724854,438.918915
08-08-2022,745.549988,194.799759,4223.350098,1462.050049,836.950012,1601.893555,19536.67383,2559.444092,3298.914307,434.779114
10-08-2022,739,198.824173,4243.299805,1466.300049,848.75,1585.126831,19652.53516,2574.748047,3279.166504,429.093109
11-08-2022,758.849976,200.428711,4258.299805,1485.699951,859.700012,1602.437622,19563.16602,2583.32251,3345.888672,437.372742
12-08-2022,760.549988,203.225159,4260.799805,1485.150024,874.400024,1576.867065,19427.62305,2625.096436,3325.407715,435.028503
16-08-2022,764.650024,204.371246,4297.799805,1502.150024,879.25,1579.19165,19566.49609,2643.341553,3316.755615,436.026031
17-08-2022,772.099976,203.041779,4315.899902,1509.900024,883.25,1588.885742,19618.53906,2657.149902,3324.967773,441.961395
18-08-2022,765.049988,203.316849,4225.100098,1511.699951,885.099976,1565.837524,19441.93945,2661.300049,3305.562012,433.981049
19-08-2022,757.5,199.099228,4204,1493.050049,870.400024,1579.834595,19325.88086,2613.850098,3309.961426,431.387482
22-08-2022,741.849976,200.153641,4186.950195,1470.349976,852.25,1558.616577,19337.11133,2606.600098,3279.459961,418.968048
23-08-2022,747.049988,204.325424,4225.149902,1465.800049,863.900024,1525.725952,19509.53711,2646.800049,3211.075684,415.626282
24-08-2022,750.150024,205.058899,4218.049805,1472.849976,873.299988,1520.878906,19554.66797,2639.75,3182.480225,415.127502
25-08-2022,743.349976,206.204987,4237.899902,1464.849976,872.349976,1501.738159,19411.12305,2632.050049,3146.161865,414.179871
26-08-2022,744.900024,210.83522,4223.299805,1465.099976,870.849976,1505.10144,19412.5625,2618,3150.072266,416.224792
29-08-2022,728.700012,211.431183,4210.149902,1439.400024,855.849976,1445.947876,19530.11328,2597.649902,3062.429199,403.356506
30-08-2022,751.5,215.282059,4245.049805,1486.099976,887.299988,1476.810547,19807.96094,2637.949951,3139.269775,412.533875
01-09-2022,744.150024,211.156128,4202.100098,1472.150024,874.349976,1448.371338,19616.20117,2560.399902,3061.598145,409.441528
02-09-2022,750.200012,210.239258,4189.950195,1485.5,872.400024,1437.29248,19446.06445,2530.5,3060.327393,406.698273
05-09-2022,756.099976,212.348053,4214.25,1495.050049,882.450012,1445.502808,19145.75,2569.800049,3063.26001,404.503662
06-09-2022,750,213.356613,4239.200195,1489.349976,883.650024,1439.369751,18929.24023,2596.850098,3057.052246,403.456268
07-09-2022,755.400024,218.995392,4249.299805,1482.300049,876.200012,1441.892212,19065.82813,2581.75,3079.097656,406.448883
08-09-2022,779.75,216.794891,4271.649902,1497.599976,898.799988,1459.944946,19010.60547,2585.399902,3098.69873,411.785736
09-09-2022,784.849976,217.849304,4255.100098,1498.599976,901.25,1495.308472,18938.53516,2569.300049,3145.624023,416.125061
